Date,Source,Contact,Contact Group,Description,Description_Clean,Category,Match_Score,Matched_Rule,Auto_Approved,Suggestion_1,Suggestion_2,Suggestion_3
01 Dec 2022,Spend Money,Harringtons of Fulham,,Harringtons of Fulham,harringtons of fulham,Travelling,100.0,harringtons of fulham,True,,,
01 Dec 2022,Spend Money,Ubitricity,,Ubitricity,ubitricity,Travelling,100.0,ubitricity,True,,,
02 Dec 2022,Spend Money,Saba Park Services,,Saba Park Services,saba park services,Travelling,100.0,saba park services,True,,,
04 Dec 2022,Spend Money,Ubitricity,,Ubitricity,ubitricity,Travelling,100.0,ubitricity,True,,,
04 Dec 2022,Spend Money,EVCharge,,EVCharge,evcharge,Travelling,100.0,evcharge,True,,,
05 Dec 2022,Spend Money,Taxi,,Taxi,taxi,Travelling,100.0,taxi,True,,,
05 Dec 2022,Spend Money,Ubitricity,,Ubitricity,ubitricity,Travelling,100.0,ubitricity,True,,,
05 Dec 2022,Spend Money,Ubitricity,,Ubitricity,ubitricity,Travelling,100.0,ubitricity,True,,,
07 Dec 2022,Spend Money,Taxi,,Taxi,taxi,Travelling,100.0,taxi,True,,,
07 Dec 2022,Spend Money,STRICKER HELMUT BADIA,,STRICKER HELMUT BADIA,stricker helmut badia,Travelling,100.0,stricker helmut badia,True,,,
07 Dec 2022,Spend Money,TFL London,,TFL London,tfl london,Travelling,100.0,tfl london,True,,,
08 Dec 2022,Spend Money,Trainline.com,,Trainline.com,trainlinecom,Travelling,100.0,trainlinecom,True,,,
09 Dec 2022,Spend Money,Ubitricity,,Ubitricity,ubitricity,Travelling,100.0,ubitricity,True,,,
13 Dec 2022,Spend Money,Addison Lee Ltd,,Addison Lee Ltd,addison lee ltd,Travelling,100.0,addison lee ltd,True,,,
13 Dec 2022,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
15 Dec 2022,Spend Money,Addison Lee Ltd,,Addison Lee Ltd,addison lee ltd,Travelling,100.0,addison lee ltd,True,,,
16 Dec 2022,Spend Money,Addison Lee Ltd,,Addison Lee Ltd,addison lee ltd,Travelling,100.0,addison lee ltd,True,,,
16 Dec 2022,Spend Money,Addison Lee Ltd,,Addison Lee Ltd,addison lee ltd,Travelling,100.0,addison lee ltd,True,,,
17 Dec 2022,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
17 Dec 2022,Spend Money,Ubitricity,,Ubitricity,ubitricity,Travelling,100.0,ubitricity,True,,,
18 Dec 2022,Spend Money,Addison Lee Ltd,,Addison Lee Ltd,addison lee ltd,Travelling,100.0,addison lee ltd,True,,,
20 Dec 2022,Spend Money,Addison Lee Ltd,,Addison Lee Ltd,addison lee ltd,Travelling,100.0,addison lee ltd,True,,,
20 Dec 2022,Spend Money,Addison Lee Ltd,,Addison Lee Ltd,addison lee ltd,Travelling,100.0,addison lee ltd,True,,,
20 Dec 2022,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
21 Dec 2022,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
25 Dec 2022,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
29 Dec 2022,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
03 Jan 2023,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
03 Jan 2023,Spend Money,Citycab,,Citycab,citycab,Travelling,100.0,citycab,True,,,
03 Jan 2023,Spend Money,Ubitricity,,Ubitricity,ubitricity,Travelling,100.0,ubitricity,True,,,
